BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
,Condo for sale,720000,3,2.0,1046.0,"Brooklyn, NY 11221","782 Madison St Apt 1ABrooklyn, NY 11221",New York,Kings County,Brooklyn
Brokered by Red Door Realty Group,Contingent,249999,1,1.0,750.0,"Staten Island, NY 10308","3747 Amboy Rd Apt 2AStaten Island, NY 10308",,Richmond County,Staten Island
Brokered by La Rosa Realty New York Llc,House for sale,850000,3,2.0,2184.207862,"South Ozone Park, NY 11420","135-20 Lefferts BlvdSouth Ozone Park, NY 11420",,New York,Queens County
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,750000,3,2.0,2184.207862,"Brooklyn, NY 11223","457 Van Sicklen StBrooklyn, NY 11223",,New York,Kings County
Brokered by Genstone Properties,Multi-family home for sale,625000,5,2.3738608579684373,2184.207862,"Brooklyn, NY 11208","198 Shepherd AveBrooklyn, NY 11208",,New York,Kings County
,House for sale,650000,2,2.0,896.0,"Bellerose, NY 11426","76-18 251st StBellerose, NY 11426",,New York,Queens County
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,4845000,9,6.0,5939.0,"New York, NY 10035","2099 Fifth AveNew York, NY 10035",United States,New York,New York County
,Co-op for sale,580000,1,1.0,2184.207862,"Manhattan, NY 10019","305 W 55th St Apt 2AManhattan, NY 10019",,New York County,New York
,Co-op for sale,887785,2,2.0,2184.207862,"New York, NY 10044","575 Main St Apt 1602New York, NY 10044",,Queens County,Queens
Brokered by RE MAX Real Estate Professionals,Condo for sale,499999,3,1.0,701.0,"Brooklyn, NY 11229","2362 E 13th St Apt 2BBrooklyn, NY 11229",New York,Kings County,Brooklyn
,Pending,599000,4,2.0,1348.0,"Bronx, NY 10461","1527 Gillespie Ave Unit 1ABronx, NY 10461",,Bronx County,The Bronx
,Pending,0,5,4.0,2169.0,"Brooklyn, NY 11208","48 Highland PlBrooklyn, NY 11208",,New York,Kings County
,House for sale,988000,4,2.3738608579684373,2400.0,"Staten Island, NY 10304","4 Minna StStaten Island, NY 10304",,New York,Richmond County
Brokered by REALHome Services & Solutions,House for sale,764600,4,2.0,1884.0,"Staten Island, NY 10308","187 Greencroft AveStaten Island, NY 10308",,New York,Richmond County
,Condo for sale,699900,1,1.0,2184.207862,"Long Island City, NY 11101","11-25 47th Ave Unit 1Long Island City, NY 11101",,Queens County,Queens
,Townhouse for sale,5495000,5,4.0,4296.0,"Brooklyn, NY 11215","769 Carroll StBrooklyn, NY 11215",,New York,Kings County
,House for sale,3900000,5,6.0,7723.0,"Malba, NY 11357","14446 BoulevardMalba, NY 11357",,New York,Queens County
Brokered by Brown Harris Stevens,Co-op for sale,999000,2,2.0,2184.207862,"Manhattan, NY 10044","531 Main St Apt 520Manhattan, NY 10044",New York,New York County,New York
,Townhouse for sale,10495000,7,4.0,5100.0,"Brooklyn, NY 11201","48 Garden PlBrooklyn, NY 11201",United States,New York,Kings County
,Co-op for sale,188000,3,1.0,2184.207862,"Woodside, NY 11377","6011 Broadway Apt L5Woodside, NY 11377",,Queens County,Queens
"Brokered by Robert Defalco Realty, Inc.",House for sale,499900,3,2.0,1232.0,"Staten Island, NY 10312","40 Bunnell Ct Unit AStaten Island, NY 10312",United States,New York,Richmond County
,Co-op for sale,545000,1,1.0,2184.207862,"Manhattan, NY 10024","28 W 87th St Apt 4AManhattan, NY 10024",New York,New York County,New York
,Condo for sale,705000,2,2.0,2184.207862,"Middle Village, NY 11379","66-41 69th St Unit 1EMiddle Village, NY 11379",,Queens County,Queens
Brokered by RE/MAX Team,House for sale,1289000,4,4.0,2184.207862,"Glen Oaks, NY 11004","257-03 80th AveGlen Oaks, NY 11004",United States,New York,Queens County
,Co-op for sale,389000,2,1.0,2184.207862,"Maspeth, NY 11378","62-19 53rd Ave Unit 3PMaspeth, NY 11378",,Queens County,Queens
Brokered by Homedax Real Estate Llc,Co-op for sale,350000,2,1.0,2184.207862,"Brooklyn, NY 11220","414 61st St Apt 4ABrooklyn, NY 11220",,Kings County,Brooklyn
Brokered by RE/MAX Team,House for sale,1289000,4,4.0,2184.207862,"Glen Oaks, NY 11004","257-03 80th AveGlen Oaks, NY 11004",,New York,Queens County
,House for sale,499900,3,2.0,1232.0,"Staten Island, NY 10312","40 Bunnell Ct Unit AStaten Island, NY 10312",United States,New York,Richmond County
Brokered by Homedax Real Estate Llc,Co-op for sale,350000,2,1.0,2184.207862,"Brooklyn, NY 11220","414 61st St Apt 4ABrooklyn, NY 11220",,Kings County,Brooklyn
Brokered by Corcoran SoHo,Condo for sale,295000,3,1.0,2184.207862,"New York, NY 10037","48 W 138th St Apt 6FNew York, NY 10037",New York,New York County,New York
,Multi-family home for sale,918000,4,3.0,2184.207862,"Forest Hills, NY 11375","88-04 69th RdForest Hills, NY 11375",,New York,Queens County
,Multi-family home for sale,1799000,4,3.0,3176.0,"Forest Hills, NY 11375","10005 69th AveForest Hills, NY 11375",,New York,Queens County
Brokered by RE MAX Edge,Multi-family home for sale,989000,4,2.0,1827.0,"Brooklyn, NY 11229","2374 E 17th StBrooklyn, NY 11229",,New York,Kings County
Brokered by Re/Max Real Estate Professionals,Multi-family home for sale,890000,5,2.0,2144.0,"Staten Island, NY 10305","146 Cedar AveStaten Island, NY 10305",United States,New York,Richmond County
Brokered by Cohen And Cohen Consulting,Condo for sale,469888,2,2.0,1164.0,"Bronx, NY 10464","152 Tier St Apt 211CBronx, NY 10464",United States,New York,Bronx County
,Co-op for sale,310000,2,1.0,2184.207862,"New York, NY 10031","655 Riverside Dr Apt 5ANew York, NY 10031",,New York County,New York
,Co-op for sale,479000,1,1.0,2184.207862,"Manhattan, NY 10024","335 W 85th St Apt 4AManhattan, NY 10024",,New York County,New York
Brokered by Winzone Realty Inc,House for sale,1290000,4,3.0,2184.207862,"Whitestone, NY 11357","141-03 15th AveWhitestone, NY 11357",,New York,Queens County
Brokered by COMPASS,Townhouse for sale,4250000,3,4.0,3376.0,"Brooklyn, NY 11238","189 Prospect Pl Apt 1Brooklyn, NY 11238",,Kings County,Brooklyn
,Townhouse for sale,7400000,4,2.3738608579684373,3700.0,"Brooklyn, NY 11217","413 Degraw StBrooklyn, NY 11217",United States,New York,Kings County
,House for sale,899000,3,2.0,2184.207862,"Flushing, NY 11358","46-02 190th StFlushing, NY 11358",,New York,Queens County
,House for sale,16500000,2,2.0,5834.0,"New York, NY 10011","245 W 18th StNew York, NY 10011",,New York,New York County
,Co-op for sale,659000,3,2.0,1300.0,"Bronx, NY 10465","3 Edgewater Park Unit 3ABronx, NY 10465",,Bronx County,The Bronx
,House for sale,1150000,5,3.0,2184.207862,"Howard Beach, NY 11414","162-31 91st StHoward Beach, NY 11414",United States,New York,Queens County
,Multi-family home for sale,499000,5,2.0,2184.207862,"Brooklyn, NY 11203","752 Rutland RdBrooklyn, NY 11203",,New York,Kings County
,House for sale,725000,3,2.0,1476.0,"Staten Island, NY 10306","480 Lynn StStaten Island, NY 10306",United States,New York,Richmond County
,Condo for sale,929000,3,2.0,2184.207862,"Douglaston, NY 11362","24010A Oak Park Dr Unit 23ADouglaston, NY 11362",,Queens County,Queens
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,629000,2,2.0,1600.0,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 22NFloral Park, NY 11005",New York,NaN,Queens
"Brokered by Robert Defalco Realty, Inc.",House for sale,285000,3,1.0,1428.0,"Staten Island, NY 10303","72 Holland AveStaten Island, NY 10303",,New York,Richmond County
Brokered by NextHome Empire,Co-op for sale,315000,2,1.0,2184.207862,"Astoria, NY 11105","21-48 35th St Unit 5GAstoria, NY 11105",New York,Queens County,Queens
Brokered by E Realty International Corp,Condo for sale,698000,2,2.0,824.0,"Flushing, NY 11354","142-18 38th Ave Unit 7DFlushing, NY 11354",,Queens County,Queens
,House for sale,849000,4,3.0,2184.207862,"Bellerose, NY 11426","87-01 Commonwealth BlvdBellerose, NY 11426",,New York,Queens County
,Townhouse for sale,1775000,6,4.0,4900.0,"Manhattan, NY 10034","642 W 207th StManhattan, NY 10034",United States,New York,New York County
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,3850000,4,2.0,2160.0,"New York, NY 10028","420 E 84th StNew York, NY 10028",,New York,New York County
,Condo for sale,4500000,5,4.0,3180.0,"Manhattan, NY 10280","377 Rector Pl Ph BManhattan, NY 10280",United States,New York,New York County
Brokered by Elite Real Estate Group 1 Llc,House for sale,465000,2,2.0,988.0,"Bronx, NY 10465","659 Wilcox AveBronx, NY 10465",United States,New York,Bronx County
,Contingent,869900,4,2.0,2280.0,"Staten Island, NY 10314","25 Copley StStaten Island, NY 10314",,New York,Richmond County
,Multi-family home for sale,699000,3,2.3738608579684373,2034.0,"Bronx, NY 10469","2728 Hone AveBronx, NY 10469",,New York,Bronx County
Brokered by Ditommaso Real Estate,House for sale,799000,3,2.0,864.0,"Staten Island, NY 10306","310 Montreal AveStaten Island, NY 10306",United States,New York,Richmond County
Brokered by Great Riches Realty,Condo for sale,290000,1,1.0,2184.207862,"Rego Park, NY 11374","65-50 Wetherole St Unit LvRego Park, NY 11374",,New York,Queens County
,House for sale,0,5,3.0,2076.0,"Bronx, NY 10466","627 E 236th StBronx, NY 10466",United States,New York,Bronx County
Brokered by Great Riches Realty,Condo for sale,290000,1,1.0,2184.207862,"Rego Park, NY 11374","65-50 Wetherole St Unit LvRego Park, NY 11374",United States,New York,Queens County
,Pending,500000,5,3.0,2472.0,"Brooklyn, NY 11219","1158 54th StBrooklyn, NY 11219",,New York,Kings County
,House for sale,2750000,3,5.0,4600.0,"Brooklyn, NY 11234","2317 E 63rd StBrooklyn, NY 11234",,New York,Kings County
,Condo for sale,495000,2,1.0,766.0,"New York, NY 10033","69 Bennett Ave Apt 509New York, NY 10033",New York,New York County,New York
,Multi-family home for sale,1199000,4,4.0,2279.0,"Staten Island, NY 10308","158 Cloverdale AveStaten Island, NY 10308",,New York,Richmond County
,Co-op for sale,605000,3,2.0,1500.0,"Bronx, NY 10463","2575 Palisade Ave Apt 1LBronx, NY 10463",,Bronx County,The Bronx
Brokered by COMPASS,Co-op for sale,550000,2,1.0,2184.207862,"Brooklyn, NY 11232","611 41st St Apt LBrooklyn, NY 11232",,New York,Kings County
Brokered by Direct Access Real Estate Inc,House for sale,768000,3,2.0,1065.0,"Bayside, NY 11361","32-50 204th StBayside, NY 11361",,New York,Queens County
,Condo for sale,2099000,3,2.0,1711.0,"Brooklyn, NY 11201","100 Jay St Apt 16ABrooklyn, NY 11201",,Kings County,Brooklyn
,Co-op for sale,575000,3,2.0,1480.0,"Brooklyn, NY 11235","3903 Nostrand Ave Apt 5PBrooklyn, NY 11235",New York,Kings County,Brooklyn
,House for sale,639000,3,2.0,1224.0,"Bronx, NY 10465","2919 Greene PlBronx, NY 10465",United States,New York,Bronx County
,Co-op for sale,525000,3,1.0,2184.207862,"New York, NY 10023","180 W End Ave Apt 19PNew York, NY 10023",New York,New York County,New York
Brokered by RE MAX Edge,House for sale,850000,3,2.3738608579684373,2160.0,"Staten Island, NY 10305","167 Mills AveStaten Island, NY 10305",,New York,Richmond County
Brokered by Exp Realty,Multi-family home for sale,674999,5,2.0,2600.0,"Bronx, NY 10460","1463 Longfellow AveBronx, NY 10460",,New York,Bronx County
,Condo for sale,345000,1,1.0,2184.207862,"Jamaica, NY 11432","172-31 Highland Ave Unit 2AJamaica, NY 11432",,Queens County,Queens
,Multi-family home for sale,0,5,2.0,3443.0,"Brooklyn, NY 11234","1125 E 57th StBrooklyn, NY 11234",United States,New York,Kings County
,Co-op for sale,379000,2,2.0,1160.0,"Brooklyn, NY 11210","3215 Avenue H Apt 3PBrooklyn, NY 11210",New York,Kings County,Brooklyn
,Pending,1495000,1,1.0,814.0,"Brooklyn, NY 11201","9 Dekalb Ave Unit 55DBrooklyn, NY 11201",,Kings County,Brooklyn
,Pending,2288000,4,3.0,1788.0,"Brooklyn, NY 11228","1024 82nd StBrooklyn, NY 11228",United States,New York,Kings County
Brokered by Charles Rutenberg Realty Inc,Multi-family home for sale,699000,4,2.0,2184.207862,"Richmond Hill, NY 11418","85-30 101st StRichmond Hill, NY 11418",United States,New York,Queens County
Brokered by Fave Realty Inc,Co-op for sale,250000,1,1.0,900.0,"Bronx, NY 10463","3017 Riverdale Ave Apt 1FBronx, NY 10463",,Bronx County,The Bronx
Brokered by Scy Realty Team Corp,House for sale,1120000,3,2.0,2184.207862,"Little Neck, NY 11362","263-07 57th AveLittle Neck, NY 11362",,,Queens County
,Townhouse for sale,25000000,7,2.3738608579684373,20000.0,"Manhattan, NY 10013","11 Hubert StManhattan, NY 10013",United States,New York,New York County
Brokered by E Realty International Corp,House for sale,858000,2,2.0,2184.207862,"Elmhurst, NY 11373","52-37 84th StElmhurst, NY 11373",United States,New York,Queens County
,Co-op for sale,1275000,1,1.0,1000.0,"New York, NY 10036","521 W 47th St Apt 2BNew York, NY 10036",New York,New York County,New York
,House for sale,1070000,4,2.0,2192.0,"Staten Island, NY 10305","146 Major AveStaten Island, NY 10305",,New York,Richmond County
Brokered by COMPASS,Townhouse for sale,4800000,10,4.0,5353.0,"Brooklyn, NY 11215","407 3rd StBrooklyn, NY 11215",United States,New York,Kings County
,Townhouse for sale,14600000,6,2.3738608579684373,6630.0,"Manhattan, NY 10023","122 W 73rd StManhattan, NY 10023",,New York,New York County
Brokered by COMPASS,Co-op for sale,895000,2,2.0,2184.207862,"Manhattan, NY 10024","202 W 78th St Apt 2EManhattan, NY 10024",,New York County,New York
,House for sale,1250000,6,3.0,2400.0,"Bronx, NY 10465","1316 Kearney AveBronx, NY 10465",United States,New York,Bronx County
Brokered by Winzone Realty Inc,Multi-family home for sale,1788000,6,5.0,2184.207862,"Flushing, NY 11355","136-08 Elder AveFlushing, NY 11355",United States,New York,Queens County
Brokered by Home Global Realty,Multi-family home for sale,799000,4,3.0,1344.0,"Brooklyn, NY 11236","8519 Glenwood RdBrooklyn, NY 11236",,New York,Kings County
Brokered by Prime Realty,House for sale,879000,3,2.0,2184.207862,"Middle Village, NY 11379","66-18 Gray StMiddle Village, NY 11379",,New York,Queens County
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,963000,4,4.0,2400.0,"Staten Island, NY 10307","3 Craig AveStaten Island, NY 10307",United States,New York,Richmond County
Brokered by RE MAX Edge,Multi-family home for sale,998000,11,6.0,2184.207862,"Brooklyn, NY 11234","3724 Flatlands AveBrooklyn, NY 11234",,New York,Kings County
Brokered by The Agency,Co-op for sale,950000,2,1.0,1000.0,"New York, NY 10023","140 W End Ave Apt 7BNew York, NY 10023",New York,New York County,New York
Brokered by Cross Country Realty,Condo for sale,410000,2,1.0,2184.207862,"Staten Island, NY 10314","85 Elmwood Park Dr Apt 60Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Agency Real Estate Services Llc,Co-op for sale,269000,1,1.0,900.0,"Jamaica, NY 11432","170-40 Highland Ave Unit 404Jamaica, NY 11432",New York,Queens County,Queens
Brokered by Douglas Elliman  -111 Fifth Ave,House for sale,8500000,7,6.0,7000.0,"New York, NY 10013","19 Vestry StNew York, NY 10013",,New York,New York County
Brokered by EXIT REALTY FIRST CHOICE,Multi-family home for sale,1195000,11,6.0,2184.207862,"Bronx, NY 10458","2312 Beaumont AveBronx, NY 10458",,New York,Bronx County
,Co-op for sale,550000,2,1.0,1069.0,"Forest Hills, NY 11375","4 Dartmouth St Apt 71Forest Hills, NY 11375",New York,Queens County,Queens
,Multi-family home for sale,2800000,16,16.0,10720.0,"Brooklyn, NY 11219","1570 66th StBrooklyn, NY 11219",United States,New York,Kings County
Brokered by East Point Realty LLC,Multi-family home for sale,940000,9,4.0,2184.207862,"Jamaica, NY 11435","146-13 105th AveJamaica, NY 11435",,New York,Queens County
,House for sale,865000,3,3.0,2184.207862,"Woodside, NY 11377","50-39 61st StWoodside, NY 11377",United States,New York,Queens County
,Condo for sale,7995000,3,4.0,4412.0,"New York, NY 10016","45 E 30th St # BNew York, NY 10016",,New York,New York County
,House for sale,690000,3,2.0,1284.0,"Staten Island, NY 10305","112 Pearsall StStaten Island, NY 10305",,New York,Richmond County
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,330000,3,1.0,2184.207862,"Woodhaven, NY 11421","83-20 98th St Unit 1UWoodhaven, NY 11421",,Queens County,Queens
,Townhouse for sale,8750000,7,8.0,5000.0,"New York, NY 10014","241 W 4th StNew York, NY 10014",,New York,New York County
Brokered by Nyc Realty Brokers Llc,Co-op for sale,619000,2,2.0,1200.0,"Brooklyn, NY 11235","200 Corbin Pl Apt 5NBrooklyn, NY 11235",,Kings County,Brooklyn
,House for sale,0,3,1.0,1050.0,"Staten Island, NY 10314","159 Lander AveStaten Island, NY 10314",,New York,Richmond County
Brokered by Elegran Real Estate And Development,House for sale,1175000,2,2.0,1144.0,"Brooklyn, NY 11209","4 78th StBrooklyn, NY 11209",,New York,Kings County
,Multi-family home for sale,2999000,8,2.3738608579684373,6000.0,"Brooklyn, NY 11228","7923 12th AveBrooklyn, NY 11228",,New York,Kings County
,Condo for sale,1395000,2,2.0,1793.0,"New York, NY 10023","253 W 73rd St Apt 4FNew York, NY 10023",,New York County,New York
,Co-op for sale,800000,2,2.0,2184.207862,"Queens, NY 11372","3442 80th St Apt 32Queens, NY 11372",,Queens County,Queens
,Co-op for sale,499000,2,1.0,686.0,"Manhattan, NY 10036","430 W 46th St Apt 5EManhattan, NY 10036",,New York County,New York
,House for sale,1625000,4,4.0,2743.0,"New York, NY 10024","269 W 87th St Apt 7ANew York, NY 10024",,New York County,New York
Brokered by Skylight Real Estate Consultan,House for sale,799999,3,3.0,1444.0,"Jamaica, NY 11429","106-10 217th StJamaica, NY 11429",United States,New York,Queens County
Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,1139000,4,4.0,3150.0,"Staten Island, NY 10312","950 Huguenot AveStaten Island, NY 10312",United States,New York,Richmond County
,House for sale,529000,3,2.0,1650.0,"Bronx, NY 10473","401 Harding ParkBronx, NY 10473",,New York,Bronx County
,Co-op for sale,300000,3,1.0,1200.0,"Brooklyn, NY 11235","2741 E 28th St Apt 4DBrooklyn, NY 11235",,Kings County,Brooklyn
,House for sale,799000,5,4.0,1802.0,"Brooklyn, NY 11214","8648 26th AveBrooklyn, NY 11214",,United States,New York
,Multi-family home for sale,869000,6,3.0,1526.0,"Bronx, NY 10461","1032 Rhinelander AveBronx, NY 10461",United States,New York,Bronx County
Brokered by Today Realty Corp.,House for sale,749000,3,2.0,1480.0,"Bronx, NY 10461","1238 Pinchot PlBronx, NY 10461",United States,New York,Bronx County
,Co-op for sale,240900,2,1.0,875.0,"Bronx, NY 10463","2390 Palisade Ave Apt 4KBronx, NY 10463",,Bronx County,The Bronx
